Packages;Destination;Approach
;Warehouse;09:00:00
2;Vulytsya Travneva, 22, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;9:11:40
1;Vulytsya Veterynarna, 30, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;9:30:21
6;Vulytsya Lassalya, 29, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;9:51:48
9;Provulok Fisaka, 10, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;10:00:52
3;Vulytsya Lʹva Tolstoho, 24, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435;10:23:03
7;Vulytsya Kolodyazhna, 6, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;10:36:55
4;Academician Amosov St, 6, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;10:58:00
8;Academician Amosov St, 45, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435;11:04:29
0;Vulytsya Khersonsʹka, 15, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;11:16:00
5;Vulytsya Robocha, 39, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;12:00:01
;Warehouse;12:32:38
