Packages;Destination;Approach
;Warehouse;09:00:00
22;Vulytsya Zmahannya, 56, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;09:18:22
23;Sanzharivska St, 41, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;09:33:10
;Warehouse;09:52:35
