Packages;Destination;Approach
;Warehouse;9:00:00
17;Slobozhanska St, 138, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;9:14:55
14;Vulytsya Havenka, 9, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435;9:25:33
11;Vulytsya Partyzansʹka, 50, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;9:31:29
12;ул. Фисака, 23, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;9:39:07
13;Provulok Udarnyy, 18, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;9:50:16
15;Lesia Kurbasa St, 25, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435;10:02:58
16;Prov. Kovalʹsʹkyy, 13, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435;10:12:43
21;Vulytsya Proselyshchna, 15, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;10:22:24
19;Slobozhanska St, 60, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;10:35:38
20;Vulytsya Lassalya, 6, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435;10:51:51
18;Vulytsya Shevchenka, 104, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;10:58:57
10;Slobozhanska St, 28, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;11:09:28
;Warehouse;11:28:52
