Packages;Destination;Approach
;Warehouse;09:00:00
17;Slobozhanska St, 138, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;9:14:26
10;Slobozhanska St, 28, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;9:26:54
6;Vulytsya Lassalya, 29, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;9:43:02
19;Slobozhanska St, 60, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;9:56:01
20;Vulytsya Lassalya, 6, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435;10:07:41
22;Vulytsya Zmahannya, 56, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;10:28:40
3;Vulytsya Lʹva Tolstoho, 24, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435;10:42:01
12;ул. Фисака, 23, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;11:06:49
11;Vulytsya Partyzansʹka, 50, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;11:19:42
21;Vulytsya Proselyshchna, 15, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;11:33:47
1;Vulytsya Veterynarna, 30, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;11:54:15
16;Prov. Kovalʹsʹkyy, 13, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435;12:08:29
4;Academician Amosov St, 6, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;12:32:36
0;Vulytsya Khersonsʹka, 15, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;12:50:37
;Warehouse;13:11:04
;Warehouse;13:11:04
23;Sanzharivska St, 41, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;13:22:08
14;Vulytsya Havenka, 9, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435;13:38:43
13;Provulok Udarnyy, 18, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;13:55:03
24;Vulytsya Krynychna, 8, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435;14:09:02
18;Vulytsya Shevchenka, 104, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;14:18:24
5;Vulytsya Robocha, 39, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;14:33:38
2;Vulytsya Travneva, 22, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;14:49:07
8;Academician Amosov St, 45, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435;15:24:52
7;Vulytsya Kolodyazhna, 6, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;15:41:49
15;Lesia Kurbasa St, 25, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435;15:54:30
9;Provulok Fisaka, 10, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;16:13:07
;Warehouse;16:37:17
