Packages;Destination;Approach
;Warehouse;09:00:00
22;Vulytsya Zmahannya, 56, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;9:15:25
23;Sanzharivska St, 41, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;9:35:11
24;Vulytsya Krynychna, 8, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435;9:53:13
;Warehouse;10:12:35
